"Id","Label"
"0","6"
"1","7"
"2","2"
"3","9"
"4","7"
"5","8"
"6","7"
"7","6"
"8","8"
"9","8"
"10","7"
"11","4"
"12","6"
"13","5"
"14","5"
"15","9"
"16","8"
"17","8"
"18","6"
"19","7"
"20","3"
"21","8"
"22","9"
"23","4"
"24","5"
"25","9"
"26","9"
"27","9"
"28","7"
"29","4"
"30","9"
"31","7"
"32","1"
"33","8"
"34","9"
"35","9"
"36","9"
"37","9"
"38","7"
"39","9"
"40","9"
"41","9"
"42","4"
"43","9"
"44","8"
"45","8"
"46","8"
"47","7"
"48","9"
"49","6"
"50","7"
"51","6"
"52","6"
"53","7"
"54","9"
"55","5"
"56","6"
"57","8"
"58","9"
"59","9"
"60","8"
"61","7"
"62","7"
"63","8"
"64","9"
"65","6"
"66","6"
"67","7"
"68","8"
"69","4"
"70","9"
"71","9"
"72","6"
"73","8"
"74","7"
"75","7"
"76","9"
"77","8"
"78","8"
"79","9"
"80","9"
"81","9"
"82","7"
"83","9"
"84","8"
"85","9"
"86","8"
"87","2"
"88","4"
"89","9"
"90","6"
"91","5"
"92","4"
"93","3"
"94","3"
"95","7"
"96","7"
"97","9"
"98","9"
"99","9"
"100","9"
"101","8"
"102","8"
"103","9"
"104","8"
"105","8"
"106","8"
"107","3"
"108","7"
"109","7"
"110","8"
"111","3"
"112","7"
"113","4"
"114","8"
"115","9"
"116","9"
"117","7"
"118","9"
"119","5"
"120","7"
"121","5"
"122","8"
"123","4"
"124","8"
"125","7"
"126","2"
"127","7"
"128","6"
"129","9"
"130","3"
"131","9"
"132","9"
"133","4"
"134","9"
"135","4"
"136","5"
"137","8"
"138","9"
"139","9"
"140","6"
"141","5"
"142","9"
"143","7"
"144","8"
"145","9"
"146","9"
"147","8"
"148","8"
"149","1"
"150","6"
"151","3"
"152","9"
"153","8"
"154","5"
"155","7"
"156","5"
"157","9"
"158","9"
"159","9"
"160","2"
"161","1"
"162","7"
"163","6"
"164","4"
"165","7"
"166","8"
"167","9"
"168","9"
"169","5"
"170","9"
"171","9"
"172","8"
"173","9"
"174","7"
"175","5"
"176","4"
"177","7"
"178","8"
"179","9"
"180","8"
"181","7"
"182","1"
"183","1"
"184","4"
"185","8"
"186","7"
"187","4"
"188","5"
"189","7"
"190","3"
"191","9"
"192","4"
"193","9"
"194","4"
"195","7"
"196","7"
"197","9"
"198","9"
"199","9"
"200","9"
"201","5"
"202","8"
"203","7"
"204","8"
"205","8"
"206","9"
"207","8"
"208","7"
"209","9"
"210","4"
"211","8"
"212","8"
"213","5"
"214","5"
"215","9"
"216","9"
"217","9"
"218","5"
"219","9"
"220","8"
"221","5"
"222","6"
"223","8"
"224","7"
"225","8"
"226","5"
"227","9"
"228","8"
"229","6"
"230","8"
"231","5"
"232","4"
"233","3"
"234","7"
"235","9"
"236","7"
"237","7"
"238","9"
"239","8"
"240","4"
"241","7"
"242","6"
"243","4"
"244","9"
"245","6"
"246","2"
"247","9"
"248","6"
"249","6"
"250","9"
"251","9"
"252","7"
"253","8"
"254","6"
"255","8"
"256","6"
"257","8"
"258","9"
"259","7"
"260","9"
"261","7"
"262","6"
"263","7"
"264","9"
"265","6"
"266","6"
"267","1"
"268","9"
"269","6"
"270","3"
"271","6"
"272","7"
"273","9"
"274","9"
"275","5"
"276","9"
"277","9"
"278","9"
"279","6"
"280","7"
"281","6"
"282","3"
"283","9"
"284","7"
"285","6"
"286","5"
"287","7"
"288","8"
"289","9"
"290","8"
"291","9"
"292","9"
"293","5"
"294","5"
"295","8"
"296","9"
"297","7"
"298","8"
"299","8"
"300","8"
"301","9"
"302","3"
"303","9"
"304","7"
"305","4"
"306","1"
"307","7"
"308","7"
"309","9"
"310","1"
"311","5"
"312","8"
"313","7"
"314","6"
"315","7"
"316","4"
"317","8"
"318","8"
"319","5"
"320","9"
"321","7"
"322","9"
"323","9"
"324","9"
"325","7"
"326","8"
"327","9"
"328","9"
"329","8"
"330","6"
"331","4"
"332","4"
"333","7"
"334","4"
"335","8"
"336","7"
"337","3"
"338","6"
"339","9"
"340","8"
"341","9"
"342","8"
"343","7"
"344","5"
"345","9"
"346","8"
"347","7"
"348","9"
"349","8"
"350","7"
"351","6"
"352","5"
"353","4"
"354","6"
"355","9"
"356","7"
"357","7"
"358","9"
"359","5"
"360","6"
"361","8"
"362","7"
"363","7"
"364","6"
"365","6"
"366","9"
"367","5"
"368","9"
"369","4"
"370","3"
"371","4"
"372","7"
"373","8"
"374","6"
"375","9"
"376","8"
"377","9"
"378","5"
"379","7"
"380","7"
"381","8"
"382","9"
"383","9"
"384","9"
"385","8"
"386","8"
"387","7"
"388","8"
"389","8"
"390","9"
"391","8"
"392","6"
"393","7"
"394","6"
"395","4"
"396","6"
"397","7"
"398","2"
"399","9"
"400","4"
"401","4"
"402","9"
"403","7"
"404","9"
"405","9"
"406","7"
"407","6"
"408","9"
"409","4"
"410","7"
"411","3"
"412","8"
"413","7"
"414","1"
"415","9"
"416","2"
"417","7"
"418","7"
"419","3"
"420","4"
"421","9"
"422","8"
"423","2"
"424","8"
"425","4"
"426","4"
"427","9"
"428","9"
"429","6"
"430","5"
"431","9"
"432","9"
"433","9"
"434","8"
"435","2"
"436","7"
"437","5"
"438","9"
"439","6"
"440","9"
"441","9"
"442","9"
"443","7"
"444","4"
"445","4"
"446","9"
"447","9"
"448","9"
"449","9"
"450","6"
"451","8"
"452","7"
"453","8"
"454","4"
"455","5"
"456","5"
"457","7"
"458","9"
"459","7"
"460","4"
"461","1"
"462","6"
"463","6"
"464","7"
"465","9"
"466","7"
"467","4"
"468","5"
"469","8"
"470","8"
"471","6"
"472","7"
"473","9"
"474","9"
"475","6"
"476","8"
"477","8"
"478","9"
"479","7"
"480","9"
"481","4"
"482","9"
"483","9"
"484","8"
"485","9"
"486","9"
"487","8"
"488","8"
"489","7"
"490","9"
"491","7"
"492","8"
"493","9"
"494","7"
"495","3"
"496","9"
"497","9"
"498","7"
"499","7"
"500","9"
"501","8"
"502","8"
"503","6"
"504","9"
"505","4"
"506","9"
"507","7"
"508","8"
"509","4"
"510","7"
"511","2"
"512","2"
"513","9"
"514","8"
"515","8"
"516","3"
"517","4"
"518","6"
"519","8"
"520","8"
"521","8"
"522","9"
"523","4"
"524","7"
"525","5"
"526","9"
"527","6"
"528","9"
"529","8"
"530","7"
"531","5"
"532","9"
"533","7"
"534","7"
"535","9"
"536","9"
"537","7"
"538","3"
"539","9"
"540","9"
"541","8"
"542","9"
"543","3"
"544","5"
"545","8"
"546","6"
"547","9"
"548","5"
"549","6"
"550","9"
"551","5"
"552","2"
"553","9"
"554","8"
"555","9"
"556","7"
"557","8"
"558","5"
"559","9"
"560","5"
"561","2"
"562","8"
"563","6"
"564","6"
"565","5"
"566","7"
"567","9"
"568","8"
"569","9"
"570","3"
"571","9"
"572","6"
"573","8"
"574","7"
"575","7"
"576","4"
"577","9"
"578","7"
"579","8"
"580","6"
"581","3"
"582","9"
"583","8"
"584","7"
"585","7"
"586","5"
"587","9"
"588","7"
"589","5"
"590","5"
"591","3"
"592","8"
"593","7"
"594","9"
"595","6"
"596","9"
"597","7"
"598","8"
"599","7"
"600","8"
"601","8"
"602","7"
"603","9"
"604","4"
"605","9"
"606","9"
"607","6"
"608","9"
"609","5"
"610","9"
"611","4"
"612","8"
"613","4"
"614","8"
"615","8"
"616","4"
"617","9"
"618","9"
"619","2"
"620","8"
"621","7"
"622","5"
"623","5"
"624","6"
"625","4"
"626","9"
"627","6"
"628","5"
"629","5"
"630","8"
"631","5"
"632","9"
"633","6"
"634","9"
"635","5"
"636","8"
"637","7"
"638","6"
"639","6"
"640","6"
"641","4"
"642","6"
"643","9"
"644","9"
"645","7"
"646","8"
"647","8"
"648","7"
"649","9"
"650","9"
"651","4"
"652","6"
"653","8"
"654","8"
"655","9"
"656","3"
"657","7"
"658","3"
"659","6"
"660","1"
"661","8"
"662","1"
"663","9"
"664","3"
"665","6"
"666","9"
"667","9"
"668","8"
"669","8"
"670","7"
"671","4"
"672","9"
"673","7"
"674","8"
"675","7"
"676","8"
"677","2"
"678","4"
"679","1"
"680","3"
"681","9"
"682","9"
"683","5"
"684","8"
"685","8"
"686","6"
"687","9"
"688","9"
"689","7"
"690","7"
"691","9"
"692","9"
"693","7"
"694","8"
"695","9"
"696","8"
"697","5"
"698","8"
"699","6"
"700","9"
"701","8"
"702","9"
"703","7"
"704","9"
"705","7"
"706","9"
"707","8"
"708","8"
"709","9"
"710","7"
"711","9"
"712","6"
"713","9"
"714","6"
"715","7"
"716","9"
"717","9"
"718","8"
"719","6"
"720","6"
"721","8"
"722","9"
"723","8"
"724","8"
"725","5"
"726","6"
"727","5"
"728","7"
"729","7"
"730","3"
"731","8"
"732","9"
"733","8"
"734","7"
"735","9"
"736","4"
"737","9"
"738","8"
"739","6"
"740","5"
"741","6"
"742","6"
"743","3"
"744","8"
"745","8"
"746","3"
"747","9"
"748","9"
"749","9"
"750","9"
"751","9"
"752","9"
"753","5"
"754","9"
"755","9"
"756","8"
"757","9"
"758","8"
"759","8"
"760","5"
"761","8"
"762","3"
"763","9"
"764","9"
"765","6"
"766","8"
"767","8"
"768","8"
"769","3"
"770","5"
"771","5"
"772","7"
"773","7"
"774","7"
"775","5"
"776","7"
"777","9"
"778","9"
"779","9"
"780","7"
"781","9"
"782","8"
"783","4"
"784","9"
"785","9"
"786","4"
"787","9"
"788","8"
"789","3"
"790","3"
"791","9"
"792","7"
"793","6"
"794","8"
"795","7"
"796","9"
"797","6"
"798","8"
"799","7"
"800","2"
"801","3"
"802","7"
"803","9"
"804","8"
"805","9"
"806","5"
"807","9"
"808","5"
"809","8"
"810","9"
"811","9"
"812","7"
"813","8"
"814","8"
"815","8"
"816","9"
"817","7"
"818","9"
"819","7"
"820","4"
"821","8"
"822","9"
"823","6"
"824","8"
"825","7"
"826","6"
"827","9"
"828","9"
"829","8"
"830","9"
"831","8"
"832","9"
"833","9"
"834","5"
"835","9"
"836","9"
"837","9"
"838","4"
"839","9"
"840","8"
"841","9"
"842","7"
"843","9"
"844","7"
"845","9"
"846","9"
"847","9"
"848","4"
"849","7"
"850","9"
"851","1"
"852","4"
"853","5"
"854","6"
"855","8"
"856","5"
"857","7"
"858","5"
"859","6"
"860","6"
"861","7"
"862","9"
"863","8"
"864","3"
"865","9"
"866","5"
"867","9"
"868","9"
"869","8"
"870","9"
"871","3"
"872","8"
"873","6"
"874","4"
"875","9"
"876","9"
"877","7"
"878","9"
"879","7"
"880","9"
"881","8"
"882","8"
"883","9"
"884","4"
"885","6"
"886","6"
"887","9"
"888","9"
"889","8"
"890","7"
"891","5"
"892","9"
"893","9"
"894","4"
"895","5"
"896","5"
"897","8"
"898","9"
"899","9"
"900","9"
"901","6"
"902","4"
"903","6"
"904","9"
"905","9"
"906","9"
"907","6"
"908","8"
"909","8"
"910","3"
"911","8"
"912","8"
"913","6"
"914","9"
"915","9"
"916","9"
"917","8"
"918","9"
"919","5"
"920","7"
"921","6"
"922","9"
"923","9"
"924","9"
"925","6"
"926","2"
"927","9"
"928","9"
"929","8"
"930","9"
"931","9"
"932","4"
"933","8"
"934","9"
"935","1"
"936","7"
"937","6"
"938","9"
"939","9"
"940","8"
"941","2"
"942","7"
"943","5"
"944","7"
"945","7"
"946","9"
"947","8"
"948","6"
"949","6"
"950","9"
"951","9"
"952","6"
"953","8"
"954","7"
"955","7"
"956","9"
"957","7"
"958","7"
"959","7"
"960","9"
"961","9"
"962","4"
"963","4"
"964","5"
"965","9"
"966","6"
"967","6"
"968","8"
"969","8"
"970","8"
"971","8"
"972","4"
"973","6"
"974","7"
"975","6"
"976","7"
"977","7"
"978","4"
"979","6"
"980","9"
"981","6"
"982","7"
"983","9"
"984","4"
"985","6"
"986","9"
"987","7"
"988","7"
"989","6"
"990","9"
"991","6"
"992","7"
"993","9"
"994","9"
"995","8"
"996","4"
"997","8"
"998","4"
"999","2"
"1000","8"
"1001","6"
"1002","8"
"1003","8"
"1004","9"
"1005","7"
"1006","8"
"1007","8"
"1008","3"
"1009","5"
"1010","9"
"1011","1"
"1012","5"
"1013","9"
"1014","9"
"1015","5"
"1016","9"
"1017","8"
"1018","6"
"1019","0"
"1020","7"
"1021","7"
"1022","8"
"1023","6"
"1024","4"
"1025","6"
"1026","6"
"1027","9"
"1028","4"
"1029","9"
"1030","7"
"1031","5"
"1032","8"
"1033","7"
